item_id,item_name,category,description,maturity,market_pain_score,artifact_clarity_score,proofability_score,strategic_fit_score,revenue_potential_score,weighted_total,revenue_class,time_to_revenue,status,notes
B2,cross-framework-mapping,service,Map controls across EU AI Act / NIST RMF / ISO 42001 etc. $15-25K. 2-3 weeks.,production,7.5,7.5,7.0,8.0,7.5,7.50,direct_revenue,30_days,active,Strong demand from multinationals. Requires compliance_mapper from hummbl-governance.
B3,nist-ai-rmf-implementation,service,Full NIST AI RMF implementation. $15-30K.,production,7.0,7.0,6.5,7.5,7.0,7.00,direct_revenue,30_days,active,Well-defined framework. Government contractors need this. Longer sales cycle.
B4,ai-claims-review,service,FTC Section 5 / SEC / California AB 2013 compliance review. $5-10K.,production,7.0,6.5,6.0,7.0,6.0,6.53,direct_revenue,30_days,active,Regulatory enforcement is accelerating. Smaller ticket but faster close.
B5,ai-employment-compliance,service,NYC LL144 / Illinois HB 3773 / Colorado AI Act compliance. $8-15K per state.,production,8.0,7.0,7.0,7.5,7.0,7.35,direct_revenue,30_days,active,Active enforcement in NYC. Companies scrambling. Per-state pricing scales well.
B6,advisory-sessions,service,1-on-1 advisory at $300-500/session.,production,5.0,8.0,5.0,6.0,4.0,5.45,direct_revenue,immediate,active,Low friction to start. But low scalability and hard to fill calendar without pipeline.
B7,monthly-retainer,service,Ongoing governance retainer $5-15K/mo.,production,6.5,6.0,5.5,8.0,8.0,6.82,direct_revenue,90_days,active,Recurring revenue. Requires landing 1-2 clients. $5K MRR target achievable with 1 retainer.
B8,implementation-sprint,service,2-3 week governance implementation. $15-40K.,production,7.0,6.5,6.5,7.5,7.5,7.03,direct_revenue,30_days,active,Premium engagement. Requires readiness-audit as lead-in. Strong margin.
C1,hummbl-io-assessments,digital_asset,6 interactive assessments (75 questions) on hummbl.io. Lead gen.,production,6.0,8.0,6.5,8.5,3.0,6.30,lead_gen,immediate,active,Live and working. Primary lead gen funnel. Converts to readiness-audit.
C2,compliance-calendar,digital_asset,Regulatory deadline tracker. Interactive.,production,5.5,7.5,5.0,6.0,2.5,5.20,lead_gen,90_days,active,Useful tool. Demonstrates expertise. Low direct revenue but good SEO magnet.
C3,crosswalk-tool,digital_asset,Cross-framework compliance crosswalk. Interactive.,production,6.0,7.0,6.0,7.0,3.0,5.75,lead_gen,90_days,active,Pairs with B2 consulting. Shows technical depth. Good gated content candidate.
C4,llms-txt,digital_asset,Machine-readable company description for LLM discoverability.,production,2.0,8.0,3.0,4.0,1.0,3.30,revenue_enabler,not_applicable,active,Cheap to deploy. Marginal SEO/AEO value. Very low priority.
C5,outreach-templates,digital_asset,Cold outreach email templates for consulting pipeline.,production,3.0,7.0,3.0,7.0,2.0,4.20,revenue_enabler,immediate,active,Internal sales tool. Enables pipeline but not a product.
C6,crm-pipeline,digital_asset,Google Sheets CRM with /crm /lead-intake /follow-up skills.,production,3.0,6.0,3.5,6.5,1.5,3.95,revenue_enabler,not_applicable,active,Internal ops. Not sellable. Enables consulting delivery.
C7,newsletter-submissions,digital_asset,Ready submissions for Python Weekly PyCoders awesome-lists.,production,2.5,7.0,4.0,5.0,1.5,3.78,lead_gen,30_days,active,Low effort high leverage for awareness. Not revenue directly.
C8,linkedin-content-pipeline,digital_asset,SEO/GEO/AEO optimized content strategy.,alpha,3.0,4.0,3.0,5.5,2.0,3.45,lead_gen,90_days,backlog,Strategy exists but not executing consistently. Needs discipline.
D1,skill-platform,skill_platform,141 Claude Code skills. Reusable automation library. Git-tracked.,production,4.5,6.0,5.5,5.0,3.5,4.83,strategic_asset,6_months,active,Impressive collection. No clear buyer yet. Could become marketplace listing or consulting accelerator.
D2,mtsmu-suite,skill_platform,5 MTSMU skills (debug research review orchestrator swarm). High-rigor execution.,production,3.5,5.5,5.0,4.0,2.0,3.90,strategic_asset,12_months,active,Internal quality tool. Demonstrates methodology but hard to sell standalone.
D3,ops-skills,skill_platform,Operational skills (health sitrep ci-monitor disk-check process-check launchd).,production,3.0,5.0,4.0,3.5,1.5,3.30,cost_center,not_applicable,active,Internal efficiency. Saves time but not productizable.
D4,security-skills,skill_platform,Security skills (security-scan secret-scan threat-model env-audit).,production,5.0,5.5,5.5,5.5,3.0,4.88,revenue_enabler,6_months,active,Could package as part of governance consulting delivery.
D5,communication-skills,skill_platform,Multi-channel messaging (send-email send-signal send-discord send-telegram).,production,2.0,5.0,3.0,3.0,1.0,2.65,cost_center,not_applicable,active,Internal utility. No external value.
D6,governance-skills,skill_platform,Governance skills (governance-audit contract-review kill-switch circuit-status idp-inspect).,production,5.5,6.0,6.0,7.0,4.0,5.67,revenue_enabler,90_days,active,Accelerates consulting delivery. Demonstrates tooling depth to enterprise buyers.
D7,analytics-skills,skill_platform,Analytical skills (base120 huaomp dimension-reduce proof-check worst-case).,production,3.0,5.0,4.0,3.5,2.0,3.40,strategic_asset,12_months,active,Intellectual depth but no clear buyer.
D8,agent-coordination-skills,skill_platform,Agent skills (dispatch delegate agent-audit agent-roster bus bus-analytics).,production,4.0,5.0,5.0,4.5,3.0,4.25,strategic_asset,6_months,active,Multi-agent orchestration is hot topic. Could become consulting deliverable.
E1,multi-machine-fleet,infrastructure,MBP + nodezero + Windows. Tailscale mesh. SSH orchestration.,production,2.0,4.0,3.0,3.0,1.0,2.50,cost_center,not_applicable,active,Internal infra. Not productizable. Cost of doing business.
E2,ci-cd-platform,infrastructure,14 CI workflows across repos. Self-hosted runners. Security scanning.,production,3.0,5.0,4.5,4.0,1.5,3.50,cost_center,not_applicable,active,Table stakes. Not a product. Supports quality claims.
E3,coordination-bus,infrastructure,Append-only TSV message bus. 13000+ entries. Multi-agent coordination.,production,4.0,5.5,5.0,4.0,2.0,4.03,strategic_asset,12_months,active,Novel approach. Research paper potential. Not directly sellable.
E4,cognitive-ledger,infrastructure,JSONL append-only knowledge base. BM25 search. Boot context.,beta,4.5,5.0,4.5,4.5,2.5,4.17,strategic_asset,12_months,active,Interesting IP. Could become open-brain product component.
E5,tmux-orchestration,infrastructure,Zero-human dispatch via tmux send-keys. Swarm infrastructure.,alpha,3.0,4.0,4.0,3.0,1.5,3.05,cost_center,not_applicable,active,Internal tooling. Cool demo but not a product.
E6,governance-bus,infrastructure,Append-only JSONL audit log. IDP delegation tokens. Feature-flagged.,beta,5.0,5.5,5.0,6.0,3.5,4.98,revenue_enabler,6_months,active,Audit trail capability. Enterprise feature. Supports governance consulting.
F1,base120-library,knowledge,120 canonical mental models across 6 transformations. v1.0.0 frozen.,production,3.0,8.0,4.0,4.0,2.0,3.95,lead_gen,6_months,active,Frozen IP. Good content marketing. Book or course potential long-term.
F2,hummbl-bibliography,knowledge,240-entry research bibliography. 12 tiers.,production,2.0,7.0,3.0,4.0,1.0,3.15,lead_gen,12_months,active,Academic credibility. Not directly monetizable. Supports thought leadership.
F3,cca-f-study-materials,knowledge,Archived CCA-F prep materials. Keep dormant unless market pull appears.,alpha,2.0,2.5,2.0,3.0,1.0,2.10,strategic_asset,180_days,parked,"Parked asset. Focus active credential effort on AIGP / ISO 42001 LI instead."
F4,swarm-research,knowledge,79-source async coordination research compilation.,production,3.0,6.0,4.0,3.5,1.5,3.45,lead_gen,12_months,active,Conference paper material. Indirect revenue via credibility.
F5,experiment-archive,knowledge,15 swarm experiments with results and learnings.,production,2.5,5.5,5.0,3.0,1.0,3.25,strategic_asset,not_applicable,active,Internal learning archive. Not externally valuable standalone.
F6,adr-collection,knowledge,Architectural decision records across repos.,production,2.0,5.0,3.5,3.0,1.0,2.75,cost_center,not_applicable,active,Internal documentation. Standard practice not a product.
G1,anthropic-partner-app,brand,Submitted 2026-03-23. Pending review.,concept,6.0,3.0,2.0,9.5,5.0,5.25,strategic_asset,90_days,active,High strategic value if approved. Unlocks distribution and credibility. Binary outcome.
G2,cca-f-certification,brand,Parked credential path. Re-evaluate only if buyer or partner pull appears.,concept,2.0,2.0,1.5,3.0,1.0,1.95,strategic_asset,180_days,parked,Not an active differentiator. Prioritize AIGP / ISO 42001 LI first.
G3,hummbl-brand,brand,Brand guidelines colors typography tone. hummbl.io domain.,production,3.0,6.0,3.5,5.0,2.0,3.75,revenue_enabler,not_applicable,active,Foundation. Not revenue generating. Enables everything else.
G4,github-org-profile,brand,GEO-optimized README. 13 public + 7 private repos.,production,2.5,7.0,4.0,5.0,1.5,3.78,lead_gen,not_applicable,active,Developer credibility. Good SEO. Marginal direct revenue impact.
